house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
3 BHK Independent Floor ,990,Uttam Nagar,Delhi,28.61864662,77.05206299,15000,INR,3.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,15.151515151515152,Medium,79
1 BHK Apartment ,350,Kirti Nagar,Delhi,28.65784264,77.14247131,17000,INR,1.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,48.57142857142857,Small,80
1 BHK Independent Floor ,360,Badarpur,Delhi,28.49189186,77.30693817,8000,INR,1.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Unfurnished,22.22222222222222,Small,81
1 BHK Independent Floor ,450,Lajpat Nagar I,Delhi,28.57368088,77.24310303,17000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,37.77777777777778,Small,82
3 BHK Independent Floor ,1900,Rajouri Garden,Delhi,28.64152908,77.12091064,50000,INR,3.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Furnished,26.31578947368421,Large,83
2 BHK Independent Floor ,750,Sector-7 Rohini,Delhi,28.70743752,77.11759949,15000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,20.0,Medium,84
2 BHK Apartment ,480,Uttam Nagar,Delhi,28.6183033,77.0569458,6500,INR,1.0,0.0,Unknown,,Posted 4 years ago,No Deposit,Semi-Furnished,13.541666666666666,Small,85
1 BHK Apartment ,450,Sector 23B Dwarka,Delhi,28.56225395,77.0428772,10300,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,22.88888888888889,Small,86
4 BHK Independent Floor ,3000,vikaspuri,Delhi,28.63875389,77.07380676,76000,INR,4.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,25.333333333333332,Large,87
1 BHK Apartment ,600,SULTANPUR,Delhi,28.49543762,77.16177368,14000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,23.333333333333332,Medium,88
3 BHK Apartment ,1900,Sector 11 Dwarka,Delhi,28.58954048,77.04999542,45000,INR,3.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,23.68421052631579,Large,89
1 BHK Independent Floor ,450,Mansa Ram Park,Delhi,28.61807823,77.04087067,8500,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,18.88888888888889,Small,90
1 RK Studio Apartment ,340,Model Town,Delhi,28.71587372,77.19107056,16000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,47.05882352941177,Small,91
1 RK Studio Apartment ,360,Karampura,Delhi,28.66576004,77.15023041,22000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,61.111111111111114,Small,92
2 BHK Independent Floor ,1800,Greater Kailash,Delhi,28.53398132,77.24250031,50000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,27.77777777777778,Large,93
1 BHK Apartment ,600,Munirka,Delhi,28.55321121,77.17448425,14100,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,23.5,Medium,94
2 BHK Independent Floor ,800,Mahavir Enclave,Delhi,28.60112762,77.07874298,16000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,20.0,Medium,95
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,96
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,97
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,98
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,99
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,100
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,101
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,102
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,103
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,104
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,105
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,106
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,107
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,108
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,109
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,110
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,111
3 BHK Independent Floor ,1300,laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Furnished,15.384615384615385,Large,112
4 BHK Independent Floor ,2700,Greater kailash 1,Delhi,28.55195999,77.23581696,150000,INR,4.0,0.0,Unknown,,Posted 5 months ago,No Deposit,Semi-Furnished,55.55555555555556,Large,113
3 BHK Independent Floor ,1872,Greater kailash 1,Delhi,28.55195999,77.23581696,100000,INR,3.0,0.0,Unknown,,Posted 5 months ago,No Deposit,Semi-Furnished,53.41880341880342,Large,114
4 BHK Independent Floor ,3000,Panchsheel Park,Delhi,28.54306221,77.21394348,150000,INR,4.0,0.0,Unknown,,Posted 5 months ago,No Deposit,Semi-Furnished,50.0,Large,115
3 BHK Independent Floor ,2700,Safdarjung Enclave,Delhi,28.56470108,77.19415283,150000,INR,3.0,0.0,Unknown,,Posted 5 months ago,No Deposit,Furnished,55.55555555555556,Large,116
1 BHK Apartment ,550,Sector 13 Dwarka,Delhi,28.60093117,77.03224945,25000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,45.45454545454545,Medium,117
3 BHK Apartment ,2200,Sector 12 Dwarka,Delhi,28.59317017,77.0355072,48000,INR,3.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,21.818181818181817,Large,118
3 BHK Apartment ,1600,Sector 7 Dwarka,Delhi,28.58750153,77.06712341,34000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,21.25,Large,119
3 BHK Apartment ,1600,Sector 7 Dwarka,Delhi,28.58750153,77.06712341,33600,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,21.0,Large,120
3 BHK Independent Floor ,1800,Pitampura,Delhi,28.69610023,77.12569427,55000,INR,3.0,0.0,Unknown,,Posted a month ago,No Deposit,Unfurnished,30.555555555555557,Large,121
2 BHK Independent Floor ,720,Janakpuri,Delhi,28.62119293,77.09102631,30000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,41.666666666666664,Medium,122
3 BHK Independent Floor ,1350,Janakpuri,Delhi,28.60982704,77.10020447,42000,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,31.11111111111111,Large,123
1 BHK Independent Floor ,495,Janakpuri,Delhi,28.62897873,77.08043671,18000,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Furnished,36.36363636363637,Small,124
